id,code_prefix_start,name,parent_id
account_group_12332102,12332102,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_123321
account_group_123321022,123321022,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_12332102
account_group_123322,123322,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12332
account_group_12332201,12332201,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_123322
account_group_123322011,123322011,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Receber,account_group_12332201
account_group_12332202,12332202,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_123322
account_group_123322022,123322022,Participação dos Beneficiários em Eventos/Sinistros Indenizados a Cobrar,account_group_12332202
account_group_1234,1234,OPERADORAS DE PLANOS DE ASSISTÊNCIA À SAÚDE,account_group_123
account_group_12341,12341,OPERADORAS DE PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1234
account_group_123411,123411,Cobertura Assistencial com Preço Preestabelecido,account_group_12341
account_group_12341101,12341101,Contraprestação Corresponsabilidade Assumida,account_group_123411
account_group_123411011,123411011,Contraprestação Corresponsabilidade Assumida,account_group_12341101
account_group_12341102,12341102,Cosseguro Aceito,account_group_123411
account_group_123411022,123411022,Cosseguro Aceito,account_group_12341102
account_group_12341103,12341103,Cosseguro Cedido,account_group_123411
account_group_123411033,123411033,Cosseguro Cedido,account_group_12341103
account_group_12341108,12341108,Outros,account_group_123411
account_group_123411088,123411088,Outros,account_group_12341108
account_group_12341109,12341109,(-) Provisão para Perdas Sobre Créditos,account_group_123411
account_group_123411099,123411099,(-) Provisão para Perdas Sobre Créditos,account_group_12341109
account_group_123412,123412,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12341
account_group_12341201,12341201,Contraprestação Corresponsabilidade Assumida,account_group_123412
account_group_123412011,123412011,Contraprestação Corresponsabilidade Assumida,account_group_12341201
account_group_12341202,12341202,Cosseguro Aceito,account_group_123412
account_group_123412022,123412022,Cosseguro Aceito,account_group_12341202
account_group_12341203,12341203,Cosseguro Cedido,account_group_123412
account_group_123412033,123412033,Cosseguro Cedido,account_group_12341203
account_group_12341208,12341208,Outros,account_group_123412
account_group_123412088,123412088,Outros,account_group_12341208
account_group_12341209,12341209,(-) Provisão para Perdas Sobre Créditos,account_group_123412
account_group_123412099,123412099,(-) Provisão para Perdas Sobre Créditos,account_group_12341209
account_group_12342,12342,OPERADORAS DE PLANOS DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1234
account_group_123421,123421,Cobertura Assistencial com Preço Preestabelecido,account_group_12342
account_group_12342101,12342101,Contraprestação Corresponsabilidade Assumida,account_group_123421
account_group_123421011,123421011,Contraprestação Corresponsabilidade Assumida,account_group_12342101
account_group_12342102,12342102,Cosseguro Aceito,account_group_123421
account_group_123421022,123421022,Cosseguro Aceito,account_group_12342102
account_group_12342103,12342103,Cosseguro Cedido,account_group_123421
account_group_123421033,123421033,Cosseguro Cedido,account_group_12342103
account_group_12342108,12342108,Outros,account_group_123421
account_group_123421088,123421088,Outros,account_group_12342108
account_group_12342109,12342109,(-) Provisão para Perdas Sobre Créditos,account_group_123421
account_group_123421099,123421099,(-) Provisão para Perdas Sobre Créditos,account_group_12342109
account_group_123422,123422,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12342
account_group_12342201,12342201,Contraprestação Corresponsabilidade Assumida,account_group_123422
account_group_123422011,123422011,Contraprestação Corresponsabilidade Assumida,account_group_12342201
account_group_12342202,12342202,Cosseguro Aceito,account_group_123422
account_group_123422022,123422022,Cosseguro Aceito,account_group_12342202
account_group_12342203,12342203,Cosseguro Cedido,account_group_123422
account_group_123422033,123422033,Cosseguro Cedido,account_group_12342203
account_group_12342208,12342208,Outros,account_group_123422
account_group_123422088,123422088,Outros,account_group_12342208
account_group_12342209,12342209,(-) Provisão para Perdas Sobre Créditos,account_group_123422
account_group_123422099,123422099,(-) Provisão para Perdas Sobre Créditos,account_group_12342209
account_group_1239,1239,OUTROS CRÉDITOS DE OPERAÇÕES COM PLANOS DE ASSISTÊNCIA À SAÚDE,account_group_123
account_group_12391,12391,OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1239
account_group_123911,123911,Cobertura Assistencial com Preço Preestabelecido,account_group_12391
account_group_12391101,12391101,Resseguros,account_group_123911
account_group_123911011,123911011,Resseguros,account_group_12391101
account_group_12391102,12391102,Seguros,account_group_123911
account_group_123911022,123911022,Seguros,account_group_12391102
account_group_12391108,12391108,Outros Créditos de Operações de Assistência Médico-Hospitalar,account_group_123911
account_group_123911088,123911088,Outros Créditos de Operações de Assistência Médico-Hospitalar,account_group_12391108
account_group_123912,123912,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12391
account_group_12391208,12391208,Outros Créditos de Operações de Assistência Médico-Hospitalar,account_group_123912
account_group_123912088,123912088,Outros Créditos de Operações de Assistência Médico-Hospitalar,account_group_12391208
account_group_12392,12392,OUTROS CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1239
account_group_123921,123921,Cobertura Assistencial com Preço Preestabelecido,account_group_12392
account_group_12392101,12392101,Resseguros,account_group_123921
account_group_123921011,123921011,Resseguros,account_group_12392101
account_group_12392102,12392102,Seguros,account_group_123921
account_group_123921022,123921022,Seguros,account_group_12392102
account_group_12392108,12392108,Outros Créditos de Operações de Assistência Odontológica,account_group_123921
account_group_123921088,123921088,Outros Créditos de Operações de Assistência Odontológica,account_group_12392108
account_group_123922,123922,Cobertura Assistencial com Preço Pós-estabelecido,account_group_12392
account_group_12392208,12392208,Outros Créditos de Operações de Assistência Odontológica,account_group_123922
account_group_123922088,123922088,Outros Créditos de Operações de Assistência Odontológica,account_group_12392208
account_group_124,124,CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA,account_group_12
account_group_1241,1241,CRÉDITOS DE OPERAÇÕES DE ASSISTÊNCIA À SAÚDE NÃO RELACIONADOS COM PLANOS DE SAÚDE DA OPERADORA,account_group_124
account_group_12411,12411,CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1241
account_group_124119,124119,Contas a Receber de Prestação de Serviços Médico- Hospitalar,account_group_12411
account_group_12411901,12411901,Contas a Receber,account_group_124119
account_group_124119011,124119011,Contas a Receber,account_group_12411901
account_group_12411902,12411902,Intercâmbio a Receber - Atendimento Eventual,account_group_124119
account_group_124119022,124119022,Intercâmbio a Receber - Atendimento Eventual,account_group_12411902
account_group_12411908,12411908,Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar,account_group_124119
account_group_124119088,124119088,Outros Créditos Operacionais de Prestação de Serviço Médico-Hospitalar,account_group_12411908
account_group_12412,12412,CRÉDITOS A RECEBER DE PRESTAÇÃO DE SERVIÇOS DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1241
account_group_124129,124129,Contas a Receber de Prestação de Serviços Odontológica,account_group_12412
account_group_12412901,12412901,Contas a Receber,account_group_124129
account_group_124129011,124129011,Contas a Receber,account_group_12412901
account_group_12412902,12412902,Intercâmbio a Receber - Atendimento Eventual,account_group_124129
account_group_124129022,124129022,Intercâmbio a Receber - Atendimento Eventual,account_group_12412902
account_group_12412908,12412908,Outros Créditos Operacionais de Prestação de Serviço Odontológico,account_group_124129
account_group_124129088,124129088,Outros Créditos Operacionais de Prestação de Serviço Odontológico,account_group_12412908
account_group_125,125,DESPESAS DIFERIDAS,account_group_12
account_group_1251,1251,COMISSÕES DIFERIDAS COM OPERAÇÕES DE ASSISTÊNCIA A SAÚDE,account_group_125
account_group_12511,12511,COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1251
account_group_125119,125119,Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar,account_group_12511
account_group_12511901,12511901,Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar,account_group_125119
account_group_125119011,125119011,Comissões/Agenciamentos Diferidos com Planos de Assistência Médico-Hospitalar,account_group_12511901
account_group_12511902,12511902,Comissões/Agenciamentos Diferidos - Seguros,account_group_125119
account_group_125119022,125119022,Comissões/Agenciamentos Diferidos - Seguros,account_group_12511902
account_group_12512,12512,COMISSÕES/AGENCIAMENTOS DIFERIDOS COM PLANOS DE ASSISTÊNCIA ODONTOLÓGICA,account_group_1251
account_group_125129,125129,Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica,account_group_12512
account_group_12512901,12512901,Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica,account_group_125129
account_group_125129011,125129011,Comissões/Agenciamentos Diferidos com Planos de Assistência Odontológica,account_group_12512901
account_group_12512902,12512902,Comissões/Agenciamentos Diferidos - Seguros,account_group_125129
account_group_125129022,125129022,Comissões/Agenciamentos Diferidos - Seguros,account_group_12512902
account_group_1252,1252,DESPESAS DE RESSEGURO DIFERIDAS,account_group_125
account_group_12521,12521,PRÊMIO DE RESSEGURO DIFERIDO COM PLANOS DE ASSISTÊNCIA MÉDICO-HOSPITALAR,account_group_1252
